,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
294,St. Francis (NY),32,17,15,.531,-9.92,-8.42,9,9,11,3,6,11,2273,2239,,70.5,100.3,.296,.403,.517,49.3,45.3,8.3,10.4,.490,15.5,27.6,.200
295,St. John's (NY) NCAA,33,21,12,.636,8.77,6.04,8,10,11,4,4,7,2558,2468,,72.4,105.9,.294,.383,.553,45.7,50.2,12.0,10.0,.523,12.8,21.3,.213
296,Stanford,31,15,16,.484,6.17,5.26,8,10,10,4,4,9,2255,2227,,71.8,100.8,.361,.366,.540,51.4,48.5,8.3,10.8,.512,18.3,29.8,.242
297,Stephen F. Austin,30,14,16,.467,-10.69,-5.61,7,11,10,6,3,9,2105,2161,,69.8,99.7,.358,.347,.530,49.0,46.7,9.1,11.9,.499,18.2,30.3,.244
298,Stetson,31,7,24,.226,-15.10,-3.55,3,13,7,8,0,16,2151,2429,,71.6,96.5,.256,.349,.489,47.8,52.6,9.4,8.5,.459,15.2,29.0,.177
299,Stony Brook,32,24,8,.750,-2.07,-6.68,12,4,10,4,13,3,2285,2106,,69.6,101.8,.358,.367,.522,54.2,45.3,8.9,12.5,.482,17.3,33.9,.257
300,Syracuse NCAA,33,20,13,.606,14.68,10.65,10,8,13,6,6,4,2301,2168,,67.3,103.2,.368,.428,.528,48.4,50.3,12.2,16.7,.495,15.8,30.1,.251
301,Temple NCAA,32,23,9,.719,8.41,4.73,13,5,13,2,8,5,2395,2277,,70.3,104.8,.330,.377,.537,48.0,54.8,12.1,6.3,.501,13.8,26.0,.241
302,Tennessee-Martin,31,12,19,.387,-10.91,-4.29,6,12,10,4,1,14,2356,2486,,71.2,105.9,.276,.379,.544,48.6,51.6,10.0,7.9,.511,16.2,31.3,.208
303,Tennessee State,30,9,21,.300,-11.62,-3.16,6,12,6,7,3,14,2182,2332,,73.1,98.6,.361,.412,.536,50.0,45.5,9.9,7.5,.501,19.6,29.3,.253
304,Tennessee Tech,31,8,23,.258,-14.67,-2.91,4,14,5,10,3,13,2104,2350,,72.9,92.4,.362,.348,.503,48.3,52.4,9.9,11.1,.476,19.8,28.4,.228
305,Tennessee NCAA,34,29,5,.853,22.49,10.30,15,3,18,0,7,3,2781,2334,,69.6,116.3,.334,.316,.588,52.4,61.0,8.5,15.2,.554,13.9,31.3,.255
306,Texas A&M-Corpus Christi,32,14,18,.438,-8.73,-5.30,9,9,9,7,5,9,2126,2124,,67.3,97.9,.300,.344,.516,52.6,54.7,9.1,9.0,.485,18.1,31.4,.209
307,Texas A&M,32,14,18,.438,7.51,8.89,6,12,9,8,3,7,2253,2297,,69.4,101.4,.343,.360,.526,50.7,46.7,9.7,12.7,.493,17.2,32.7,.237
308,Texas-Arlington,33,17,16,.515,-0.23,1.11,12,6,9,5,7,10,2284,2303,,69.0,98.5,.345,.405,.514,51.6,53.9,9.1,8.3,.471,17.4,31.0,.256
309,Texas Christian,33,20,13,.606,13.36,9.48,7,11,12,5,3,7,2445,2317,,69.6,104.9,.316,.373,.549,51.7,60.4,10.0,11.5,.523,16.9,31.2,.216
310,Texas-El Paso,29,8,21,.276,-7.93,-1.41,3,15,8,8,0,13,1859,2001,,70.0,90.7,.364,.390,.498,50.4,48.0,6.6,7.8,.463,20.0,27.2,.241
311,Texas-Rio Grande Valley,35,19,16,.543,-1.22,-1.01,9,7,10,8,8,7,2475,2456,,71.5,98.1,.441,.294,.510,45.9,55.1,13.0,7.7,.463,15.6,26.3,.307
312,Texas-San Antonio,32,17,15,.531,1.00,0.36,11,7,11,4,5,7,2481,2407,,74.0,103.5,.259,.413,.534,49.2,46.9,8.9,6.9,.504,14.8,25.8,.191
313,Texas Southern,34,21,13,.618,-6.47,-7.47,14,4,10,2,10,10,2719,2645,,76.2,104.6,.421,.368,.541,50.8,54.9,10.4,7.2,.509,17.1,32.0,.280
314,Texas State,33,24,9,.727,2.19,-2.68,12,6,11,3,10,5,2389,2117,,68.3,105.2,.353,.380,.537,54.3,56.9,10.0,7.8,.507,16.5,33.6,.241
315,Texas Tech NCAA,32,26,6,.813,21.42,7.61,14,4,17,1,6,3,2339,1897,,67.7,107.5,.335,.355,.569,51.5,51.3,10.7,15.3,.537,16.1,28.5,.244
316,Texas,32,16,16,.500,15.50,11.75,8,10,12,6,2,8,2264,2144,,66.1,106.1,.298,.432,.537,49.3,50.8,9.2,11.5,.507,14.3,28.8,.211
317,Toledo,32,25,7,.781,8.90,0.71,13,5,14,2,8,4,2473,2178,,69.8,109.9,.269,.431,.568,53.0,59.9,7.3,11.4,.537,15.3,28.7,.208
318,Towson,32,10,22,.313,-8.09,-3.21,6,12,5,8,4,8,2170,2294,,64.5,102.7,.285,.296,.514,53.6,39.3,7.3,9.7,.484,15.6,34.6,.199
319,Troy,30,12,18,.400,-5.85,-0.75,5,13,8,8,4,10,2179,2242,,69.6,103.6,.320,.410,.550,48.8,50.7,8.1,12.3,.518,17.1,27.0,.231
320,Tulane,31,4,27,.129,-6.86,3.49,0,18,3,12,0,11,2082,2403,,72.0,93.3,.328,.376,.505,48.6,60.6,6.6,9.1,.471,18.5,26.2,.226
321,Tulsa,32,18,14,.563,4.57,3.79,8,10,14,3,3,8,2296,2271,,69.9,101.9,.434,.376,.550,48.6,55.4,7.8,7.0,.512,16.2,22.4,.301
322,UCLA,33,17,16,.515,7.24,6.85,9,9,13,5,3,7,2580,2567,,73.7,105.0,.382,.358,.543,52.8,51.4,7.9,10.6,.520,16.4,30.8,.242
323,Utah State NCAA,34,28,6,.824,12.76,0.83,15,3,14,1,9,4,2692,2271,,70.0,112.4,.367,.379,.578,56.3,62.0,8.8,12.1,.541,15.5,32.0,.274
324,Utah Valley,33,24,9,.727,3.60,-2.07,12,4,13,1,8,7,2548,2324,,70.1,110.2,.398,.384,.593,52.8,50.9,8.3,6.5,.560,17.2,27.4,.289
325,Utah,31,17,14,.548,6.19,5.16,11,7,10,5,6,5,2343,2311,,67.9,110.9,.355,.465,.578,52.3,54.7,6.8,7.0,.550,16.8,30.7,.251
326,Valparaiso,33,15,18,.455,-3.16,-0.77,7,11,8,7,5,8,2205,2187,,66.4,99.5,.334,.328,.534,50.8,53.7,9.1,8.6,.502,17.5,27.0,.233
327,Vanderbilt,32,9,23,.281,3.89,8.11,0,18,8,10,1,10,2180,2315,,68.9,98.5,.406,.422,.522,50.1,50.4,7.0,10.4,.486,17.9,28.9,.273
328,Vermont NCAA,33,27,6,.818,4.90,-4.66,14,2,16,2,11,4,2439,2067,,66.3,110.6,.363,.397,.567,53.5,46.4,8.4,12.1,.529,14.4,27.8,.273
329,Villanova NCAA,34,25,9,.735,15.41,8.03,13,5,13,2,5,6,2532,2281,,65.2,112.9,.353,.535,.567,51.9,57.7,8.2,8.9,.534,14.2,31.1,.257
330,Virginia Commonwealth NCAA,32,25,7,.781,12.60,2.75,16,2,16,1,8,4,2286,1971,,69.0,102.7,.360,.411,.539,51.0,55.4,11.5,12.3,.506,17.4,31.3,.251
331,VMI,32,11,21,.344,-10.27,0.32,4,14,8,7,2,13,2433,2617,,73.5,102.6,.294,.455,.541,47.2,52.4,9.2,5.1,.509,14.8,23.0,.215
332,Virginia Tech NCAA,32,24,8,.750,19.88,7.98,12,6,14,2,5,5,2368,1987,,64.3,114.2,.315,.450,.595,52.1,59.6,10.3,8.7,.564,15.4,29.7,.238
333,Virginia NCAA,32,29,3,.906,26.67,9.89,16,2,15,1,10,1,2299,1762,,61.1,117.1,.303,.386,.586,53.8,56.6,9.2,12.3,.557,12.8,29.9,.226
334,Wagner,30,13,17,.433,-12.76,-7.40,8,10,7,7,6,10,1974,2044,,66.4,98.7,.339,.456,.501,52.0,53.6,9.2,12.0,.456,17.4,33.9,.252
335,Wake Forest,31,11,20,.355,1.91,9.17,4,14,8,8,1,10,2119,2344,,68.8,98.6,.376,.353,.496,52.2,46.1,7.0,7.2,.448,16.3,33.7,.273
336,Washington State,32,11,21,.344,-1.67,2.20,4,14,9,7,2,8,2393,2517,,71.7,104.4,.303,.445,.562,48.3,57.1,7.2,8.1,.528,17.1,25.2,.229
337,Washington NCAA,34,26,8,.765,11.85,6.41,15,3,15,1,7,4,2374,2189,,67.1,103.6,.351,.398,.551,48.1,47.5,13.3,16.2,.521,17.4,29.5,.244
338,Weber State,33,18,15,.545,-4.26,-6.00,11,9,10,5,5,7,2617,2454,,73.4,107.2,.366,.354,.576,49.0,41.5,7.4,10.0,.540,14.4,19.8,.273
339,West Virginia,34,14,20,.412,7.23,10.96,4,14,10,6,0,10,2487,2614,,71.4,101.0,.397,.392,.514,53.1,54.0,8.5,9.3,.476,18.1,36.7,.271
340,Western Carolina,32,7,25,.219,-8.96,0.66,4,14,4,8,3,14,2304,2563,,71.3,99.8,.360,.459,.564,52.4,49.1,5.8,4.6,.539,22.0,28.7,.243
341,Western Illinois,31,10,21,.323,-9.89,-5.03,4,12,7,6,2,14,2198,2272,,69.5,101.6,.237,.337,.531,48.9,39.0,7.6,11.4,.505,14.6,22.7,.173
342,Western Kentucky,34,20,14,.588,3.41,1.23,11,7,10,4,6,8,2429,2355,,69.0,102.1,.379,.318,.539,51.6,48.9,9.9,14.4,.499,17.1,29.0,.274
343,Western Michigan,32,8,24,.250,-5.87,1.87,2,16,5,9,2,14,2246,2439,,70.2,98.5,.374,.397,.523,51.5,48.2,6.4,6.5,.487,18.6,30.0,.258
344,Wichita State,33,19,14,.576,6.83,5.31,10,8,10,4,4,7,2333,2283,,69.1,101.9,.291,.391,.503,51.7,54.6,6.9,9.6,.467,14.4,32.6,.211
345,William & Mary,31,14,17,.452,-4.49,-1.79,10,8,9,5,5,11,2321,2385,,69.2,106.1,.325,.415,.567,49.9,62.9,7.2,12.4,.546,16.0,24.2,.217
346,Winthrop,30,18,12,.600,-2.89,-3.74,10,6,11,3,7,8,2499,2358,,75.1,110.0,.301,.531,.582,53.4,53.8,5.9,7.2,.554,17.5,29.8,.222
347,Wisconsin NCAA,33,23,10,.697,19.09,11.46,14,6,12,3,8,5,2279,2027,,64.9,104.5,.275,.341,.535,49.8,49.3,7.7,11.3,.515,12.8,24.0,.178
348,Wofford NCAA,33,29,4,.879,13.77,0.10,18,0,15,1,11,3,2739,2165,,68.7,119.9,.270,.432,.600,55.0,50.9,9.9,9.2,.583,13.6,33.1,.188
349,Wright State,34,21,13,.618,3.16,-1.34,13,5,15,2,5,7,2492,2290,,67.6,108.1,.346,.403,.543,52.4,55.3,9.1,6.2,.505,14.6,31.2,.254
350,Wyoming,32,8,24,.250,-9.42,0.51,4,14,6,10,1,11,2105,2411,,70.2,93.3,.399,.435,.534,44.7,48.0,7.8,7.9,.492,18.6,15.6,.288
351,Xavier,33,18,15,.545,9.73,8.46,9,9,12,5,4,7,2372,2330,,66.5,106.9,.330,.377,.556,53.2,56.6,8.1,11.1,.530,16.8,32.0,.226
352,Yale NCAA,29,22,7,.759,5.53,-1.65,10,4,11,2,8,5,2353,2123,,72.7,110.2,.311,.343,.589,53.2,57.2,8.1,11.2,.561,16.1,26.0,.229
353,Youngstown State,32,12,20,.375,-7.70,-1.96,8,10,6,7,5,11,2415,2526,,70.6,104.8,.245,.434,.525,51.5,51.1,9.1,9.9,.500,15.5,33.7,.172
