,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
51,Colgate,28,12,16,.429,-6.92,-6.42,8,4,,,,,2005,2019,,,98.1,.409,.246,.518,52.1,56.4,8.8,16.9,.497,20.4,37.5,.243
52,College of Charleston NCAA,32,29,3,.906,5.85,-6.85,16,0,,,,,2504,2108,,,110.8,.401,.162,.550,50.9,55.4,13.0,11.2,.520,15.7,38.4,.271
53,Colorado State,29,20,9,.690,5.09,1.67,10,6,,,,,2180,2021,,,105.6,.438,.314,.567,50.9,67.7,10.1,10.7,.535,19.1,33.9,.301
54,Colorado NCAA,32,22,10,.688,9.74,6.24,11,5,,,,,2340,2228,,,99.6,.410,.207,.500,48.6,57.0,11.0,12.4,.458,15.9,34.3,.279
55,Columbia,26,6,20,.231,-13.76,-4.36,1,13,,,,,1621,1825,,,96.4,.369,.487,.534,44.6,57.7,9.5,6.9,.511,18.9,24.2,.233
56,Connecticut,33,18,15,.545,13.02,8.11,7,11,,,,,2170,2008,,,95.6,.360,.272,.497,52.2,55.5,11.0,9.5,.464,19.5,37.4,.234
57,Coppin State NCAA,31,22,9,.710,-1.22,-7.80,15,3,,,,,2453,2249,,,104.7,.456,.284,.558,49.9,46.5,12.3,7.5,.511,19.2,34.5,.336
58,Cornell,26,15,11,.577,-7.81,-6.89,7,7,,,,,1676,1648,,,98.4,.341,.278,.538,52.7,67.8,10.9,13.1,.508,21.0,33.3,.234
59,Creighton,30,15,15,.500,3.91,2.41,10,8,,,,,2024,1979,,,102.5,.333,.278,.510,50.0,51.6,10.0,8.0,.485,15.8,35.4,.210
60,Dartmouth,26,18,8,.692,-0.44,-7.76,10,4,,,,,1788,1585,,,101.1,.375,.282,.544,49.0,60.2,13.0,11.6,.509,18.4,29.3,.263
61,Davidson,28,18,10,.643,-0.01,-3.97,10,4,,,,,2105,1911,,,106.8,.364,.316,.553,51.9,64.4,12.6,6.4,.518,17.9,37.1,.262
62,Dayton,27,13,14,.481,3.54,2.32,6,10,,,,,1903,1870,,,103.6,.416,.328,.528,52.2,52.9,7.2,6.1,.485,19.1,37.6,.295
63,Delaware State,27,7,20,.259,-18.46,-7.09,7,11,,,,,1813,2120,,,88.1,.356,.248,.461,48.8,49.0,8.4,6.0,.422,20.4,35.8,.235
64,Delaware,31,15,16,.484,-0.13,-2.92,8,10,,,,,2324,2193,,,100.8,.382,.292,.533,53.1,55.1,11.7,4.4,.487,19.6,35.7,.286
65,DePaul,26,3,23,.115,-5.85,6.65,1,13,,,,,1437,1762,,,80.4,.262,.302,.419,45.4,49.4,11.5,6.9,.396,20.0,32.8,.150
66,Detroit Mercy,29,16,13,.552,1.90,-0.60,11,5,,,,,1919,1799,,,102.8,.408,.276,.516,53.3,55.5,8.7,8.1,.467,16.9,38.4,.298
67,Drake,28,2,26,.071,-6.17,4.65,0,18,,,,,1751,2054,,,90.0,.290,.268,.486,43.4,53.9,11.5,4.6,.460,18.3,26.4,.186
68,Drexel,31,22,9,.710,3.69,-3.63,16,2,,,,,2235,2008,,,105.4,.445,.368,.550,51.6,60.4,5.8,3.5,.507,17.4,31.0,.319
69,Duke NCAA,33,24,9,.727,22.72,9.27,12,4,,,,,2629,2185,,,113.4,.413,.368,.567,48.0,52.8,12.1,9.2,.534,15.4,36.3,.289
70,Duquesne,27,9,18,.333,2.04,6.15,5,11,,,,,1980,2091,,,99.9,.359,.293,.517,46.1,52.5,11.3,8.8,.485,19.3,37.6,.241
71,East Carolina,27,17,10,.630,2.15,-2.20,9,7,,,,,1839,1703,,,104.7,.433,.267,.528,55.6,45.8,8.7,7.0,.497,18.2,40.0,.281
72,East Tennessee State,27,7,20,.259,-19.41,-4.17,2,12,,,,,1616,1961,,,87.7,.313,.255,.491,49.0,57.4,9.3,3.7,.465,22.9,33.9,.196
73,Eastern Illinois,27,12,15,.444,-12.50,-7.62,9,9,,,,,1997,2061,,,101.6,.359,.272,.525,49.2,64.4,10.4,4.7,.490,18.0,35.6,.249
74,Eastern Kentucky,26,8,18,.308,-16.41,-7.17,6,12,,,,,1776,2004,,,93.6,.360,.220,.499,49.3,53.3,9.0,5.8,.471,21.1,36.6,.225
75,Eastern Michigan,32,22,10,.688,4.14,1.66,11,7,,,,,2589,2452,,,109.8,.354,.214,.562,51.5,48.0,11.4,6.6,.531,16.4,36.0,.252
76,Eastern Washington,26,7,19,.269,-11.25,-3.69,3,13,,,,,1790,1949,,,97.0,.374,.247,.521,49.9,61.7,9.1,6.0,.494,19.7,32.3,.239
77,Evansville,31,17,14,.548,2.80,3.89,11,7,,,,,1965,2001,,,98.0,.357,.340,.538,47.1,62.1,8.6,5.6,.496,20.3,29.3,.267
78,Fairfield NCAA,30,11,19,.367,-5.11,-2.31,2,12,,,,,1991,2075,,,96.0,.454,.309,.509,49.9,56.2,10.6,9.0,.480,20.2,35.4,.277
79,Fairleigh Dickinson,28,18,10,.643,-7.03,-5.46,13,5,,,,,2026,2070,,,100.0,.431,.331,.524,51.0,54.1,10.9,8.5,.492,19.8,38.1,.279
80,Florida A&M,27,8,19,.296,-17.91,-8.95,8,10,,,,,1861,2103,,,88.6,.365,.221,.489,47.7,48.3,9.2,13.1,.460,23.0,34.5,.228
81,Florida Atlantic,27,16,11,.593,-7.43,-9.31,11,5,,,,,1895,1813,,,97.2,.469,.152,.533,53.4,45.2,11.3,9.4,.496,22.1,37.9,.312
82,Florida International,29,16,13,.552,-4.64,-8.99,12,4,,,,,2238,2112,,,103.3,.412,.426,.552,46.4,55.2,13.9,8.0,.525,18.6,29.4,.271
83,Florida State,32,20,12,.625,16.36,9.73,6,10,,,,,2348,2136,,,105.2,.340,.289,.524,50.3,56.8,12.5,10.5,.500,16.4,38.3,.218
84,Florida,30,13,17,.433,5.46,5.15,5,11,,,,,2220,2181,,,103.4,.372,.401,.557,49.8,53.0,10.4,9.6,.524,19.8,33.3,.261
85,Fordham,27,6,21,.222,-5.82,3.81,1,15,,,,,1664,1924,,,93.2,.443,.320,.499,48.6,55.5,7.8,7.9,.457,21.5,36.0,.293
86,Fresno State,32,20,12,.625,6.87,3.29,12,4,,,,,2648,2502,,,107.1,.364,.368,.545,47.8,57.4,11.7,10.8,.515,16.8,35.6,.250
87,Furman,27,10,17,.370,-12.81,-6.37,4,10,,,,,1783,1890,,,95.8,.343,.309,.485,52.0,56.0,8.2,7.8,.453,18.0,37.3,.222
88,George Mason,27,10,17,.370,-5.52,-1.70,4,12,,,,,2149,2252,,,98.6,.313,.296,.494,48.6,44.6,12.8,6.5,.463,16.2,34.2,.210
89,George Washington,29,15,14,.517,10.36,6.98,8,8,,,,,1946,1848,,,97.4,.372,.269,.498,52.7,50.0,11.1,6.6,.456,18.7,37.8,.260
90,Georgetown NCAA,30,20,10,.667,10.88,5.85,11,7,,,,,2083,1886,,,95.2,.366,.203,.459,53.0,49.0,13.7,15.3,.429,17.7,42.8,.218
91,Georgia Southern,28,10,18,.357,-20.60,-7.10,5,9,,,,,1722,2015,,,90.8,.402,.356,.500,50.2,61.4,8.0,5.2,.466,23.9,37.7,.258
92,Georgia State,27,10,17,.370,-15.85,-11.37,6,10,,,,,1844,1930,,,98.7,.333,.221,.500,47.9,48.1,8.8,9.5,.462,15.9,32.0,.235
93,Georgia Tech,27,9,18,.333,9.36,12.21,3,13,,,,,1660,1737,,,96.1,.320,.389,.484,51.7,55.1,9.7,10.2,.453,20.3,42.3,.210
94,Georgia NCAA,33,24,9,.727,13.00,6.94,10,6,,,,,2376,2176,,,106.6,.424,.391,.539,52.8,58.8,9.0,9.5,.509,18.8,42.4,.278
95,Gonzaga,27,15,12,.556,0.19,-1.85,8,6,,,,,1956,1853,,,105.8,.339,.247,.537,51.8,57.1,10.0,8.2,.505,17.2,37.8,.237
96,Grambling,27,10,17,.370,-18.07,-11.55,5,9,,,,,1816,1967,,,96.1,.379,.243,.497,47.4,48.6,12.0,4.7,.473,18.4,35.8,.227
97,Green Bay,28,14,14,.500,0.88,-0.16,10,6,,,,,1568,1515,,,,.406,.263,.519,47.0,61.2,,8.4,.476,0.0,27.3,.288
98,Hampton,27,8,19,.296,-14.96,-9.93,7,11,,,,,1816,1952,,,92.0,.392,.327,.485,51.0,56.1,10.1,7.2,.451,20.1,34.6,.247
99,Hartford,28,17,11,.607,-2.29,-5.15,11,7,,,,,2055,1975,,,98.1,.463,.241,.532,48.2,56.4,14.8,10.5,.489,19.8,32.3,.320
100,Harvard,26,17,9,.654,-2.63,-7.95,10,4,,,,,1811,1635,,,104.4,.357,.279,.535,52.4,54.6,11.8,6.1,.492,16.9,33.6,.268
101,Hawaii,29,21,8,.724,8.74,2.77,12,4,,,,,2174,2001,,,105.0,.380,.181,.546,52.5,61.5,11.8,10.2,.518,18.9,39.8,.254
102,Hofstra,27,12,15,.444,-5.45,-3.18,9,9,,,,,1764,1810,,,93.4,.431,.217,.497,50.1,50.4,10.9,6.4,.451,19.8,34.7,.296
103,Holy Cross,27,8,19,.296,-14.52,-8.19,5,7,,,,,1815,1986,,73.2,91.0,.383,.310,.478,47.4,57.4,9.6,8.1,.449,18.4,31.3,.232
104,Houston,27,11,16,.407,0.36,3.08,3,11,,,,,1972,2015,,,99.8,.372,.251,.559,51.5,54.8,9.5,5.9,.535,23.3,37.2,.245
105,Howard,27,7,20,.259,-17.91,-7.64,7,11,,,,,1935,2204,,,96.1,.503,.254,.497,46.8,39.4,5.9,2.2,.445,19.5,35.5,.343
106,Idaho State,27,14,13,.519,-5.62,-5.92,9,7,,,,,1990,1940,,,100.2,.574,.251,.541,48.1,57.6,13.2,6.9,.513,19.5,31.2,.350
107,Idaho,30,13,17,.433,-6.11,1.53,5,11,,,,,1956,2019,,,99.9,.327,.240,.529,49.6,49.6,9.8,6.1,.493,18.8,33.6,.235
108,Illinois-Chicago,29,15,14,.517,-1.54,-1.16,11,5,,,,,1885,1896,,,98.6,.383,.235,.500,49.6,54.8,10.7,6.0,.465,17.4,35.8,.251
109,Illinois State NCAA,30,24,6,.800,10.81,2.28,14,4,,,,,2226,1970,,,105.1,.383,.310,.538,52.5,66.5,10.1,9.0,.509,18.4,37.7,.256
110,Illinois NCAA,32,22,10,.688,15.64,7.79,11,7,,,,,2448,2197,,,107.3,.360,.330,.545,49.0,60.7,10.9,5.1,.504,16.2,34.6,.268
111,Indiana State,28,12,16,.429,-3.20,1.26,6,12,,,,,1945,2068,,,98.3,.396,.307,.500,51.8,53.4,10.2,7.6,.456,18.7,38.6,.276
112,Indiana NCAA,33,22,11,.667,13.95,9.40,9,9,,,,,2397,2247,,,103.9,.499,.272,.549,50.4,59.5,9.2,9.3,.488,18.9,35.0,.382
113,Iona,30,22,8,.733,3.55,-3.82,11,3,,,,,2320,2099,,,108.2,.493,.292,.556,51.1,53.2,10.8,11.8,.504,18.1,38.7,.365
114,Iowa State NCAA,31,22,9,.710,13.43,6.30,10,6,,,,,2093,1872,,,102.9,.419,.226,.531,51.2,64.6,8.7,12.1,.499,18.2,35.8,.275
115,Iowa NCAA,32,22,10,.688,16.84,8.90,12,6,,,,,2314,2038,,,109.3,.420,.271,.564,57.3,57.7,11.4,11.0,.529,19.6,43.6,.295
116,Jackson State NCAA,30,14,16,.467,-11.49,-7.46,9,5,,,,,2139,2248,,,94.1,.409,.239,.497,49.7,52.3,11.0,7.6,.469,21.0,38.8,.251
117,Jacksonville State,27,10,17,.370,-15.83,-12.51,9,7,,,,,1941,2016,,,99.4,.410,.334,.531,52.2,54.6,8.9,6.2,.499,20.7,37.3,.269
118,Jacksonville,28,5,23,.179,-14.03,-1.24,4,14,,,,,2076,2434,,,94.6,.407,.255,.500,47.3,42.7,10.2,6.5,.468,19.9,36.0,.258
119,James Madison,29,16,13,.552,-0.27,-0.77,8,8,,,,,2029,1996,,,100.2,.393,.259,.525,50.9,47.3,11.1,5.2,.503,19.3,36.5,.240
120,Kansas State,27,10,17,.370,1.75,7.60,3,13,,,,,1734,1880,,,90.3,.375,.210,.460,50.2,57.0,9.5,11.4,.416,17.9,35.8,.250
121,Kansas NCAA,36,34,2,.944,26.60,7.94,15,1,,,,,3058,2380,,,113.0,.453,.228,.566,57.0,55.2,13.0,14.8,.531,17.5,43.4,.314
122,Kent State,27,9,18,.333,-4.00,2.73,7,11,,,,,1857,1973,,,98.0,.333,.315,.538,47.4,64.5,9.2,5.7,.508,20.2,29.4,.229
123,Kentucky NCAA,40,35,5,.875,29.23,9.20,13,3,,,,,3325,2512,,,111.6,.313,.295,.550,53.5,62.7,16.1,13.0,.525,16.3,42.6,.214
124,La Salle,27,10,17,.370,2.10,4.77,5,11,,,,,1777,1849,,,97.2,.320,.396,.482,43.8,52.1,11.7,9.0,.448,15.7,33.3,.216
125,Lafayette,28,11,17,.393,-15.75,-7.25,5,7,,,,,1903,2036,,,92.4,.412,.349,.499,47.9,55.7,10.8,10.8,.459,20.3,30.9,.277
126,Lamar,27,15,12,.556,-4.45,-4.33,10,8,,,,,2008,1919,,,100.0,.478,.240,.523,54.1,41.8,9.4,8.3,.490,20.5,39.9,.303
127,Lehigh,27,1,26,.037,-24.07,-6.63,1,11,,,,,1747,2218,,,88.2,.371,.285,.476,46.7,51.8,9.0,7.5,.429,20.1,30.5,.261
128,Liberty,32,23,9,.719,-2.85,-6.95,11,3,,,,,2182,1992,,,103.0,.371,.332,.537,50.9,64.2,10.5,13.0,.507,18.3,34.9,.251
129,Long Beach State,27,13,14,.481,-1.59,-1.22,9,7,,,,,1957,1967,,,101.2,.400,.250,.521,48.7,54.4,12.0,9.0,.481,18.8,35.6,.278
130,Long Island University NCAA,30,21,9,.700,3.76,-4.20,15,3,,,,,2746,2507,,,109.2,.314,.390,.520,49.5,50.8,15.8,6.1,.500,12.7,36.0,.195
131,Louisiana,28,12,16,.429,-6.04,-2.79,9,9,,,,,2054,2145,,,101.6,.333,.461,.516,46.7,54.8,10.2,8.2,.486,16.7,33.3,.225
132,Louisiana-Monroe,28,14,14,.500,-7.57,-5.87,10,6,,,,,2002,1994,,,99.9,.338,.342,.500,49.5,57.2,12.9,6.9,.472,17.7,37.6,.216
133,Louisiana State,30,10,20,.333,3.88,7.68,3,13,,,,,2000,2114,,,91.8,.354,.212,.485,52.4,56.8,10.1,8.4,.444,21.0,37.4,.245
134,Louisiana Tech,29,15,14,.517,-0.75,-3.71,10,8,,,,,1914,1810,,,102.0,.397,.317,.541,49.4,51.4,10.6,6.5,.511,19.3,35.3,.263
135,Louisville NCAA,35,26,9,.743,12.01,7.76,9,5,,,,,2631,2482,,,105.5,.418,.348,.542,49.7,59.1,12.3,6.6,.506,18.8,39.4,.287
136,Loyola (IL),27,12,15,.444,-4.73,-3.46,7,9,,,,,1772,1786,,,98.7,.377,.271,.534,52.6,54.6,10.9,10.3,.501,23.0,40.6,.257
137,Loyola Marymount,28,7,21,.250,-6.52,1.07,3,11,,,,,1915,2088,,,97.2,.382,.313,.528,48.2,59.3,9.1,7.3,.486,21.1,33.7,.275
138,Loyola (MD),27,13,14,.481,-3.22,-3.26,10,4,,,,,1858,1857,,,98.5,.387,.270,.522,47.2,51.0,13.4,8.3,.486,19.4,34.4,.263
139,Maine,31,11,20,.355,-7.57,-3.32,6,12,,,,,1969,2055,,,95.1,.295,.366,.497,49.5,54.7,11.9,7.4,.466,18.8,31.9,.201
140,Manhattan,27,9,18,.333,-6.69,-3.17,5,9,,,,,1633,1728,,,94.9,.335,.318,.513,50.1,58.4,11.4,8.6,.477,21.3,35.3,.236
141,Marist,28,6,22,.214,-16.24,-6.74,4,14,,,,,1797,2063,,,93.8,.350,.308,.482,50.3,50.1,7.8,6.7,.440,18.0,35.1,.245
142,Marquette NCAA,31,22,9,.710,13.44,3.18,9,5,,,,,2109,1791,,,102.4,.386,.331,.523,53.1,59.7,11.0,15.1,.496,18.7,38.7,.245
143,Marshall,29,20,9,.690,-2.99,-6.70,10,4,,,,,2314,2172,,,110.7,.327,.368,.569,47.3,50.2,11.6,9.7,.542,16.6,33.6,.231
144,Maryland-Baltimore County,27,5,22,.185,-17.31,-6.27,2,12,,,,,1581,1850,,,87.6,.341,.341,.461,49.0,61.6,10.7,5.8,.427,20.2,33.7,.216
145,Maryland-Eastern Shore,28,11,17,.393,-13.03,-9.15,6,12,,,,,2101,2090,,,98.3,.371,.309,.499,48.3,47.1,13.2,3.8,.461,16.3,34.3,.250
146,Maryland NCAA,32,21,11,.656,17.74,9.30,9,7,,,,,2406,2136,,,101.2,.502,.210,.540,52.9,62.0,11.5,8.9,.497,19.6,35.7,.342
147,Massachusetts NCAA,33,19,14,.576,10.63,9.13,11,5,,,,,2192,2133,,,102.0,.324,.244,.502,51.8,59.9,10.5,13.0,.471,16.8,40.3,.217
148,McNeese State,30,18,12,.600,-5.37,-9.55,10,6,,,,,2461,2313,,,104.7,.412,.286,.565,48.1,60.2,13.0,7.6,.542,19.7,33.2,.267
149,Memphis,31,16,15,.516,7.56,6.46,10,4,,,,,1952,1918,,,93.0,.331,.259,.490,49.3,57.0,14.2,10.5,.463,21.0,38.3,.207
150,Mercer,26,3,23,.115,-27.86,-10.61,1,15,,,,,1673,2100,,,90.0,.340,.349,.478,45.0,52.9,9.0,4.3,.444,18.1,28.3,.222
151,Miami (FL),29,16,13,.552,8.12,5.91,9,9,,,,,1887,1821,,,93.7,.361,.216,.483,49.5,58.4,11.7,15.0,.448,20.0,37.8,.234
152,Miami (OH) NCAA,30,21,9,.700,9.00,0.63,13,5,,,,,2201,1950,,,107.9,.359,.267,.553,55.1,54.8,10.4,7.0,.522,17.5,37.8,.249
153,Michigan State,29,17,12,.586,12.07,7.94,9,9,,,,,2025,1905,,,101.9,.346,.262,.522,54.3,52.9,8.5,6.1,.494,19.3,40.5,.227
154,Michigan,35,24,11,.686,16.73,10.53,9,9,,,,,2595,2380,,,106.6,.401,.262,.540,51.9,46.5,9.4,8.6,.512,18.5,41.8,.263
155,Middle Tennessee,31,19,12,.613,-4.64,-6.11,11,7,,,,,2428,2266,,,109.9,.349,.363,.554,48.8,61.0,10.5,3.1,.521,16.1,35.6,.249
156,Milwaukee,28,8,20,.286,-11.06,-0.61,4,12,,,,,1597,1865,,,,.363,.299,.454,46.1,50.5,,5.9,.420,0.0,33.3,.224
157,Minnesota NCAA,35,31,4,.886,23.35,9.20,16,2,,,,,2741,2218,,,109.2,.394,.225,.549,53.6,55.7,12.7,8.5,.518,17.0,39.0,.268
158,Mississippi State,30,12,18,.400,1.93,6.93,6,10,,,,,1974,2053,,,93.2,.391,.248,.504,49.0,56.0,8.8,8.6,.464,21.1,34.2,.267
